8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
006e  W  6e
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
006f  W  6f
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0070  W  70
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0071  W  71
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0072  W  72
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0073  W  73
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0074  W  74
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0075  W  75
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0076  W  76
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0077  W  77
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0078  W  78
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0079  W  79
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
007a  W  7a
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
007b  W  7b
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
007c  W  7c
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
007d  W  7d
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
007e  W  7e
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
007f  W  7f
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0080  W  80
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0081  W  81
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0082  W  82
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0083  W  83
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0084  W  84
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0085  W  85
